title,summary,source_url,verified
Restructuring the Political System,A high-level desire to shift the fundamental political structure of the United States to model other international systems.,https://theupskillinglabs.org/survey/civics/results#r-1,false
Media Misinformation,Broad concerns regarding how misleading media and digital influencing are negatively impacting civic engagement.,https://theupskillinglabs.org/survey/civics/results#r-3,false
Campaign Finance & District Competitiveness,Observations that financial influence and gerrymandering have reduced the competitiveness of congressional districts.,https://theupskillinglabs.org/survey/civics/results#r-4,false
Ranked Choice Voting Education,The implementation of ranked choice voting lacks sufficient public education to help voters understand its systemic benefits and how it changes voting behaviors.,https://theupskillinglabs.org/survey/civics/results#r-5,false
Targeting Legislative Influence,It is currently too labor-intensive and expensive to identify the most effective individuals or groups to lobby specific legislators on specific issues at the right time.,https://theupskillinglabs.org/survey/civics/results#r-6,false
Local Candidate Information Gaps,"Voters lack easily accessible, actionable information about local county-level candidates, often relying heavily on name recognition from campaign signs.",https://theupskillinglabs.org/survey/civics/results#r-7,false
Public Engagement on Government AI,Citizens lack the tools and platforms to provide feedback on or inform how government agencies and companies deploy artificial intelligence in their communities.,https://theupskillinglabs.org/survey/civics/results#r-8,false
Recycling Contamination & Civic Decay,"Improper recycling in public spaces leads to systemic waste and creates a visible, self-perpetuating belief that responsible civic behavior doesn't matter.",https://theupskillinglabs.org/survey/civics/results#r-9,false
Campaign Finance,Reform efforts consistently hit roadblocks like the Citizens United decision.,https://theupskillinglabs.org/survey/civics/results#r-10,false
Civic Distrust & Disinformation,"A toxic combination of distrust in voting, a lack of civics literacy, and internet-era disinformation is allowing political entities to manipulate voters' worst instincts.",https://theupskillinglabs.org/survey/civics/results#r-11,false
Logistical & Educational Barriers to Voting,"Voting is burdened by physical hurdles (childcare, time off work) and a lack of plain-language education on how local elections directly impact citizens' daily lives.",https://theupskillinglabs.org/survey/civics/results#r-12,false
The Death of Political Compromise,"The electorate and activists are failing to recognize that compromise is a fundamental component of democracy, negatively impacting civic engagement.",https://theupskillinglabs.org/survey/civics/results#r-13,false
Civics Talent Pipeline Shortage,There is a noticeable shortage of talent to fill junior roles within the civics and elections workforce.,https://theupskillinglabs.org/survey/civics/results#r-14,false
False Transparency in Government,"Government agencies and schools exhibit a disconnect with their constituencies, presenting a 'false flag' of transparency that leaves communities feeling ignored without understanding how aggregate sentiment is utilized.",https://theupskillinglabs.org/survey/civics/results#r-15,false
AI Bot Interference in Constituent Engagement,"Artificial intelligence is being used to flood communication channels, rendering actual, organic constituent engagement ineffective.",https://theupskillinglabs.org/survey/civics/results#r-16,false
Hopelessness & Lack of Election Information,"Voters feel hopeless and lack basic awareness of when local elections occur, relying on passive information like mailers or word of mouth.",https://theupskillinglabs.org/survey/civics/results#r-17,false
Structural Election Imbalances,"The current electoral system features gerrymandering, dominant two-party privileges, and districts so large that politicians effectively choose their voters.",https://theupskillinglabs.org/survey/civics/results#r-18,false
Political Bubbles & NIMBYism,"Citizens are highly polarized and isolated in social bubbles, proposing solutions or pushing back on reforms without understanding the broader impacts, trade-offs, or equity implications beyond their circles.",https://theupskillinglabs.org/survey/civics/results#r-19,false
Volunteer Burnout & Knowledge Transfer,"Local volunteer roles, such as PTA leadership, fall on a few individuals. There is a need for tools to reduce the operational burden and retain institutional knowledge as volunteer leadership turns over.",https://theupskillinglabs.org/survey/civics/results#r-19,false
Aging Civic Leadership,"Local civic organizations are heavily reliant on aging populations for leadership and membership, struggling to recruit younger generations who face competing career and family priorities.",https://theupskillinglabs.org/survey/civics/results#r-20,false
Uncontested Local Candidate Transparency,"It is incredibly difficult to research the records of local election candidates, especially those running uncontested or without a communications budget, leaving voters feeling uninformed.",https://theupskillinglabs.org/survey/civics/results#r-21,false
Unexplained Ballot Roles,"Even where ranked-choice mechanics were well taught, voters lack a plain-language breakdown of what each office on the ballot actually does, leaving first-time voters guessing at the roles they're electing.",https://theupskillinglabs.org/survey/civics/results#r-22,false
Performative Bipartisanship,"Statements, town halls, and pledges perform collaboration without doing it; missing is a structured, sprint-like way for people who are supposed to disagree to define a shared problem and build something together.",https://theupskillinglabs.org/survey/civics/results#r-23,false
Loneliness as a Civic Problem,The social scaffolding that once created accountability in how people form relationships has dissolved with nothing replacing it — an isolation epidemic treated as a private matter rather than missing civic infrastructure.,https://theupskillinglabs.org/survey/civics/results#r-24,false
Outdated Small-Organization Elections,"Unions, HOAs, and nonprofit boards run consequential elections on paper ballots and opaque spreadsheets; available tools serve incumbent leadership rather than transparent, verifiable results for members.",https://theupskillinglabs.org/survey/civics/results#r-25,false
Eroded Respect for Disagreement,"People can no longer agree to disagree — basic respect for others and their opinions is missing from civic life, and active listening is rare.",https://theupskillinglabs.org/survey/civics/results#r-26,false
Misunderstood Pace of Government,"Constituents misjudge who holds which powers and how fast government was designed to move, so legitimate slowness reads as failure — and stretched congressional staff can't give every issue the weight visitors expect.",https://theupskillinglabs.org/survey/civics/results#r-27,false
Cross-Jurisdiction Election Distrust,"Election officials struggle to cut through fragmented information channels, and even people who trust their own town's elections increasingly distrust elections run by other cities and states.",https://theupskillinglabs.org/survey/civics/results#r-28,false
No Playbook for Good Citizenship,"There is no clear guide to the daily, weekly, and monthly steps of being an informed, participating citizen — the information is scattered everywhere, and the whole project feels overwhelming.",https://theupskillinglabs.org/survey/civics/results#r-29,false
Broad Civic Disengagement,"Many people are not engaged in local or national politics, don't know who the candidates are or what they stand for, and don't vote — despite candidate forums and get-out-the-vote efforts.",https://theupskillinglabs.org/survey/civics/results#r-30,false
Missing Dialogue Across Difference,"People who hold differing views about a topic rarely talk with each other; new civic-engagement software is being tried, with only some success.",https://theupskillinglabs.org/survey/civics/results#r-31,false
Untapped Personal Megaphones,People forget how influential they can be with the biggest megaphone in history in the palm of their hand — but no one has cracked engagement at scale without it devolving into a rage machine.,https://theupskillinglabs.org/survey/civics/results#r-32,false
Low-Information Voting & Gerrymandering,"Many voters don't research candidates before an election, while nationwide gerrymandering and proposed federal voting restrictions make the underlying playing field less fair.",https://theupskillinglabs.org/survey/civics/results#r-33,false
Ranked-Choice Confusion Persists,"Voters remain confused about how ranked choice voting works and still lack clear, unbiased information about the candidates themselves.",https://theupskillinglabs.org/survey/civics/results#r-34,false
"Anemic, Uneven Participation","Civic participation is thin, and only some voices get heard and lifted.",https://theupskillinglabs.org/survey/civics/results#r-35,false
Constituent Mail Black Hole,"Letters and emails to representatives feel like talking into a void — heartfelt messages come back as generic, strategist-polished boilerplate.",https://theupskillinglabs.org/survey/civics/results#r-36,false
